,Istasyon_No,Istasyon_Adi,YIL,AY,GUN,SAAT,SICAKLIK_°C
24127,18046,ÇANKAYA/TBMM,2016.0,1.0,3.0,19.0,-0.3
24128,18046,ÇANKAYA/TBMM,2016.0,1.0,3.0,20.0,0.0
24129,18046,ÇANKAYA/TBMM,2016.0,1.0,3.0,21.0,-1.3
24130,18046,ÇANKAYA/TBMM,2016.0,1.0,3.0,22.0,-1.3
24131,18046,ÇANKAYA/TBMM,2016.0,1.0,3.0,23.0,-0.1
24132,18046,ÇANKAYA/TBMM,2016.0,1.0,4.0,0.0,0.1
24133,18046,ÇANKAYA/TBMM,2016.0,1.0,4.0,1.0,0.6
24134,18046,ÇANKAYA/TBMM,2016.0,1.0,4.0,2.0,0.8
24135,18046,ÇANKAYA/TBMM,2016.0,1.0,4.0,3.0,-0.4
24136,18046,ÇANKAYA/TBMM,2016.0,1.0,4.0,4.0,-0.8
24137,18046,ÇANKAYA/TBMM,2016.0,1.0,4.0,5.0,0.7
24138,18046,ÇANKAYA/TBMM,2016.0,1.0,4.0,6.0,2.0
24139,18046,ÇANKAYA/TBMM,2016.0,1.0,4.0,7.0,0.9
24140,18046,ÇANKAYA/TBMM,2016.0,1.0,4.0,8.0,-0.3
24141,18046,ÇANKAYA/TBMM,2016.0,1.0,4.0,9.0,-0.5
24142,18046,ÇANKAYA/TBMM,2016.0,1.0,4.0,10.0,0.4
24143,18046,ÇANKAYA/TBMM,2016.0,1.0,4.0,11.0,1.5
24144,18046,ÇANKAYA/TBMM,2016.0,1.0,4.0,12.0,1.4
24145,18046,ÇANKAYA/TBMM,2016.0,1.0,4.0,13.0,1.2
24146,18046,ÇANKAYA/TBMM,2016.0,1.0,4.0,14.0,1.5
24147,18046,ÇANKAYA/TBMM,2016.0,1.0,4.0,15.0,2.0
24148,18046,ÇANKAYA/TBMM,2016.0,1.0,4.0,16.0,1.9
24149,18046,ÇANKAYA/TBMM,2016.0,1.0,4.0,17.0,2.6
24150,18046,ÇANKAYA/TBMM,2016.0,1.0,4.0,18.0,2.8
24151,18046,ÇANKAYA/TBMM,2016.0,1.0,4.0,19.0,2.8
24152,18046,ÇANKAYA/TBMM,2016.0,1.0,4.0,20.0,2.8
24153,18046,ÇANKAYA/TBMM,2016.0,1.0,4.0,21.0,2.8
24154,18046,ÇANKAYA/TBMM,2016.0,1.0,4.0,22.0,2.6
24155,18046,ÇANKAYA/TBMM,2016.0,1.0,4.0,23.0,2.3
24156,18046,ÇANKAYA/TBMM,2016.0,1.0,5.0,0.0,2.7
24157,18046,ÇANKAYA/TBMM,2016.0,1.0,5.0,1.0,2.4
24158,18046,ÇANKAYA/TBMM,2016.0,1.0,5.0,2.0,2.3
24159,18046,ÇANKAYA/TBMM,2016.0,1.0,5.0,3.0,3.1
24160,18046,ÇANKAYA/TBMM,2016.0,1.0,5.0,4.0,3.0
24161,18046,ÇANKAYA/TBMM,2016.0,1.0,5.0,5.0,2.9
24162,18046,ÇANKAYA/TBMM,2016.0,1.0,5.0,6.0,2.8
24163,18046,ÇANKAYA/TBMM,2016.0,1.0,5.0,7.0,3.4
24164,18046,ÇANKAYA/TBMM,2016.0,1.0,5.0,8.0,2.9
24165,18046,ÇANKAYA/TBMM,2016.0,1.0,5.0,9.0,3.5
24166,18046,ÇANKAYA/TBMM,2016.0,1.0,5.0,10.0,4.3
24167,18046,ÇANKAYA/TBMM,2016.0,1.0,5.0,11.0,3.8
24168,18046,ÇANKAYA/TBMM,2016.0,1.0,5.0,12.0,4.5
24169,18046,ÇANKAYA/TBMM,2016.0,1.0,5.0,13.0,4.7
24170,18046,ÇANKAYA/TBMM,2016.0,1.0,5.0,14.0,4.5
24171,18046,ÇANKAYA/TBMM,2016.0,1.0,5.0,15.0,5.3
24172,18046,ÇANKAYA/TBMM,2016.0,1.0,5.0,16.0,5.3
24173,18046,ÇANKAYA/TBMM,2016.0,1.0,5.0,17.0,4.9
24174,18046,ÇANKAYA/TBMM,2016.0,1.0,5.0,18.0,4.5
24175,18046,ÇANKAYA/TBMM,2016.0,1.0,5.0,19.0,4.1
24176,18046,ÇANKAYA/TBMM,2016.0,1.0,5.0,20.0,3.9
