,date,spx,dax,ftse,nikkei
343,03/05/1995,520.48,2037.99,3262.61,17088.66
344,04/05/1995,520.54,2034.15,3264.33,17088.66
345,05/05/1995,520.12,2021.22,3251.7,17088.66
346,08/05/1995,523.96,2030.5,3251.7,17103.69
347,09/05/1995,523.56,2050.03,3261.2,16958.22
348,10/05/1995,524.36,2062.19,3290.1,16826.49
349,11/05/1995,524.37,2080.43,3317.9,16461.73
350,12/05/1995,525.55,2102.4,3310.3,16420.76
351,15/05/1995,527.74,2092.0,3310.7,16609.7
352,16/05/1995,528.19,2109.36,3300.8,16391.91
353,17/05/1995,527.07,2088.99,3297.4,16471.35
354,18/05/1995,519.58,2083.8,3285.8,16312.56
355,19/05/1995,519.19,2064.2,3261.0,16140.85
356,22/05/1995,523.65,2096.87,3284.47,15789.12
357,23/05/1995,528.59,2083.59,3291.78,15916.15
358,24/05/1995,528.61,2105.88,3327.28,15970.75
359,25/05/1995,528.59,2105.88,3328.2,15579.44
360,26/05/1995,523.65,2065.71,3311.09,15694.25
361,29/05/1995,523.65,2069.26,3311.09,15574.03
362,30/05/1995,523.58,2081.06,3309.9,15762.97
363,31/05/1995,533.4,2100.1,3319.35,15436.79
364,01/06/1995,533.49,2118.91,3340.6,15594.57
365,02/06/1995,532.51,2133.28,3345.0,15849.13
366,05/06/1995,535.6,2133.28,3376.6,15897.32
367,06/06/1995,535.55,2153.76,3380.0,15660.99
368,07/06/1995,533.13,2136.55,3370.8,15679.62
369,08/06/1995,532.35,2137.21,3380.8,15442.0
370,09/06/1995,527.94,2106.99,3337.7,15044.18
371,12/06/1995,530.88,2127.79,3344.63,14813.46
372,13/06/1995,536.05,2124.25,3347.99,14599.68
373,14/06/1995,536.47,2124.84,3339.8,14660.49
374,15/06/1995,537.12,2130.78,3370.4,14867.26
375,16/06/1995,539.83,2125.06,3366.11,14705.17
376,19/06/1995,545.22,2154.13,3381.3,14700.06
377,20/06/1995,544.98,2140.36,3377.2,14665.7
378,21/06/1995,543.98,2144.88,3378.3,14951.21
379,22/06/1995,551.07,2162.39,3403.8,14933.08
380,23/06/1995,549.71,2138.22,3379.4,15265.18
381,26/06/1995,544.13,2137.36,3309.2,15145.36
382,27/06/1995,542.43,2128.99,3313.2,14759.05
383,28/06/1995,544.73,2091.3,3282.7,14618.07
384,29/06/1995,543.87,2094.68,3294.0,14507.17
385,30/06/1995,544.75,2089.04,3314.6,14517.4
386,03/07/1995,547.09,2099.68,3323.65,14485.41
387,04/07/1995,547.09,2110.13,3349.2,14755.74
388,05/07/1995,547.26,2117.63,3394.9,14830.44
389,06/07/1995,553.99,2111.35,3388.3,15256.89
390,07/07/1995,556.37,2163.37,3462.9,16214.68
391,10/07/1995,557.19,2184.39,3455.0,16242.66
392,11/07/1995,554.78,2194.15,3464.0,16588.19
393,12/07/1995,560.89,2200.32,3450.6,16605.74
394,13/07/1995,561.0,2193.72,3447.16,16505.67
395,14/07/1995,559.89,2191.25,3429.18,16517.7
396,17/07/1995,562.72,2201.36,3442.6,16842.47
397,18/07/1995,558.46,2183.71,3420.7,16574.35
398,19/07/1995,550.98,2195.31,3405.3,16422.44
399,20/07/1995,553.54,2183.52,3400.4,16453.42
400,21/07/1995,553.62,2196.54,3413.1,16589.09
401,24/07/1995,556.63,2196.54,3431.6,16591.5
402,25/07/1995,561.1,2232.23,3432.9,16148.4
403,26/07/1995,561.61,2237.73,3454.3,16387.25
404,27/07/1995,565.22,2239.36,3458.3,16625.19
405,28/07/1995,562.93,2217.91,3468.9,16649.45
406,31/07/1995,562.06,2222.51,3463.3,16677.53
407,01/08/1995,559.64,2211.26,3449.9,16358.57
408,02/08/1995,558.8,2249.6,3499.9,16720.75
409,03/08/1995,558.75,2234.86,3475.6,16893.71
410,04/08/1995,558.94,2236.68,3482.4,16741.2
411,07/08/1995,560.03,2244.56,3483.5,16615.46
412,08/08/1995,560.39,2236.89,3468.8,16838.97
413,09/08/1995,559.71,2222.28,3468.3,16789.33
414,10/08/1995,557.45,2236.72,3474.7,16728.97
415,11/08/1995,555.11,2228.44,3467.5,16792.34
416,14/08/1995,559.74,2211.03,3441.36,16916.57
417,15/08/1995,558.57,2236.73,3444.36,17452.72
418,16/08/1995,559.97,2251.64,3465.06,18158.73
419,17/08/1995,559.04,2253.93,3470.56,18149.7
420,18/08/1995,559.21,2265.86,3509.8,18032.49
421,21/08/1995,558.11,2269.6,3535.7,17871.05
422,22/08/1995,559.52,2258.97,3530.2,17877.77
423,23/08/1995,557.14,2262.66,3515.9,17731.98
424,24/08/1995,557.46,2253.91,3519.96,17921.99
425,25/08/1995,560.1,2257.34,3524.93,17770.68
426,28/08/1995,559.05,2240.31,3524.93,17847.29
427,29/08/1995,560.0,2230.27,3502.6,18135.16
428,30/08/1995,560.92,2251.3,3504.0,17983.86
429,31/08/1995,561.88,2234.23,3477.8,18117.22
430,01/09/1995,563.84,2242.76,3509.4,18120.73
431,04/09/1995,563.84,2263.08,3522.7,17748.52
432,05/09/1995,569.17,2266.57,3532.4,17794.04
433,06/09/1995,570.17,2266.37,3557.7,17620.38
434,07/09/1995,570.29,2269.01,3545.6,17621.18
435,08/09/1995,572.68,2266.77,3554.5,18279.55
436,11/09/1995,573.91,2268.26,3549.3,18486.11
437,12/09/1995,576.51,2266.07,3535.9,18472.17
438,13/09/1995,578.77,2300.72,3570.78,18614.26
439,14/09/1995,583.61,2300.29,3565.4,18758.55
440,15/09/1995,583.35,2305.58,3564.58,18758.55
441,18/09/1995,582.77,2289.49,3533.3,18319.16
442,19/09/1995,584.2,2306.66,3541.4,18474.38
443,20/09/1995,586.77,2394.15,3561.5,18198.64
444,21/09/1995,583.0,2275.72,3557.9,18034.79
445,22/09/1995,581.73,2204.44,3514.8,17713.93
446,25/09/1995,581.81,2217.1,3506.98,17566.43
447,26/09/1995,581.41,2232.02,3523.3,17921.98
448,27/09/1995,581.04,2190.9,3484.96,18262.43
449,28/09/1995,585.87,2184.24,3478.95,18022.86
450,29/09/1995,584.41,2200.65,3508.25,17913.06
451,02/10/1995,581.72,2197.01,3520.2,17739.84
452,03/10/1995,582.34,2197.01,3524.2,18142.99
453,04/10/1995,581.47,2211.88,3544.1,18145.08
454,05/10/1995,582.63,2189.82,3544.4,18220.41
455,06/10/1995,582.49,2173.45,3526.5,18506.28
456,09/10/1995,578.37,2157.41,3510.3,18176.27
457,10/10/1995,577.52,2136.77,3460.1,18176.27
458,11/10/1995,579.46,2153.56,3474.3,17891.19
459,12/10/1995,583.1,2159.73,3523.8,17971.4
460,13/10/1995,584.5,2206.11,3568.0,17880.83
461,16/10/1995,583.03,2194.06,3557.26,18016.44
462,17/10/1995,586.78,2185.52,3562.18,17916.6
463,18/10/1995,587.44,2197.57,3593.0,17895.97
464,19/10/1995,590.65,2176.09,3578.6,17955.36
465,20/10/1995,587.46,2148.12,3551.4,18157.33
466,23/10/1995,585.06,2116.86,3531.5,18156.24
467,24/10/1995,586.54,2114.88,3535.3,18014.25
468,25/10/1995,582.47,2140.74,3537.8,17970.81
469,26/10/1995,576.72,2142.74,3519.6,17726.68
470,27/10/1995,579.7,2112.01,3497.9,17337.19
471,30/10/1995,583.25,2149.71,3510.0,17509.17
472,31/10/1995,581.5,2165.76,3529.1,17654.64
473,01/11/1995,584.22,2182.11,3518.7,17474.49
474,02/11/1995,589.72,2181.49,3523.0,18028.8
475,03/11/1995,590.57,2169.69,3500.4,18028.8
476,06/11/1995,588.46,2168.57,3514.84,18036.97
477,07/11/1995,586.32,2174.27,3522.4,18021.22
478,08/11/1995,591.71,2184.05,3537.1,17863.29
479,09/11/1995,593.26,2182.47,3541.64,17821.04
480,10/11/1995,592.72,2174.78,3523.42,17843.56
481,13/11/1995,592.3,2195.15,3536.82,17789.46
482,14/11/1995,589.29,2197.34,3547.94,17802.51
483,15/11/1995,593.96,2196.64,3571.43,17682.74
484,16/11/1995,597.34,2202.5,3610.8,17939.52
485,17/11/1995,600.07,2196.59,3609.18,18151.16
486,20/11/1995,596.85,2204.01,3628.76,18383.82
487,21/11/1995,600.24,2201.9,3604.07,18384.32
488,22/11/1995,598.4,2194.53,3632.4,18239.84
489,23/11/1995,598.4,2197.26,3602.5,18239.84
490,24/11/1995,599.97,2210.92,3624.0,18215.23
491,27/11/1995,601.32,2247.97,3648.99,18543.14
492,28/11/1995,606.45,2242.91,3648.85,18688.42
493,29/11/1995,607.64,2249.75,3655.52,18533.98
494,30/11/1995,605.37,2254.95,3664.32,18744.42
495,01/12/1995,606.98,2266.56,3680.41,18833.1
